file,vehicle_id,accel_time_lt_30_s,accel_time_30_50_s,accel_time_50_70_s,accel_time_gt_70_s,accel_total_time_s,accel_pct_lt_30,accel_pct_30_50,accel_pct_50_70,accel_pct_gt_70,motor0_time_above_0_8_s,motor0_time_above_0_9_s,motor0_time_above_1_0_s,motor1_time_above_0_8_s,motor1_time_above_0_9_s,motor1_time_above_1_0_s,motor2_time_above_0_8_s,motor2_time_above_0_9_s,motor2_time_above_1_0_s,motor3_time_above_0_8_s,motor3_time_above_0_9_s,motor3_time_above_1_0_s,peak_accel_events,accel_clipping_time_s,accel_clipping_events
20251017064914.ulg,EL-017,12.001199999999999,0.0,0.0,0.0,12.001199999999999,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20250916140600.ulg,EL-018,9.001305,0.0,0.997087,0.0,9.998391999999999,0.9002752642624935,0.0,0.09972473573750659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20251008133636.ulg,EL-018,4.000859,0.0,0.0,0.0,4.000859,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20251008133938.ulg,EL-018,6.99724,0.0,0.0,0.0,6.99724,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20251013150132.ulg,EL-017,160.014267,55.986467,5.998233000000001,0.0,221.998967,0.7207883404250255,0.2521924662829625,0.027019193292012033,0.0,0.003695,0.0,0.0,0.0,0.0,0.0,0.003717,0.0,0.0,0.014829,0.003695,0.0,0.0,0.0,0.0
20250824212906.ulg,EL-018,126.981026,65.01052999999999,10.003639,1.001246,202.996441,0.6255332624279851,0.32025453096490486,0.04927987382793573,0.004932332779174192,0.0,0.0,0.0,0.010002,0.003763,0.0,0.031256,0.0,0.0,0.071164,0.0,0.0,0.0,0.0,0.0
20251008134030.ulg,EL-018,11.996512,0.0,0.0,0.0,11.996512,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20251008134318.ulg,EL-018,9.999904,0.0,0.0,0.0,9.999904,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20251017064806.ulg,EL-017,40.99728700000001,11.00297,0.0,0.0,52.000257,0.7884054688422022,0.21159453115779794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.980445,0.0,0.0,0.0,0.0,0.0
20250828044108.ulg,EL-017,520.993325,173.010944,39.995166,8.00029,741.999725,0.7021475985048378,0.23316847455704917,0.0539018609474552,0.01078206599065788,0.043368000000000004,0.033457,0.019828000000000002,0.003724,0.0,0.0,9.451611,0.6024989999999999,0.01358,5.701325000000001,0.259948,0.039627,0.0,0.0,0.0
20251013140250.ulg,EL-017,142.003933,51.999815999999996,10.004954,1.993857,206.00255999999996,0.6893309141400962,0.2524231543530333,0.048567134311340604,0.00967879719553,0.0,0.0,0.0,0.0,0.0,0.0,0.100056,0.0,0.0,0.010037,0.0,0.0,0.0,0.0,0.0
05_30_35.ulg,EL-019,6.000713,0.0,0.0,0.0,6.000713,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04_56_08.ulg,EL-019,120.002903,32.996178,5.001426,0.0,158.00050700000003,0.7595096071432226,0.20883589949493006,0.031654493361847245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05_11_05.ulg,EL-019,124.014014,26.982053999999998,5.002741,0.0,155.998809,0.7949676974777417,0.17296320512293142,0.032069097399326944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20250823012932.ulg,EL-019,2.001507,0.0,0.0,0.0,2.001507,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20250823012950.ulg,EL-019,2.9991120000000002,0.0,0.0,0.0,2.9991120000000002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05_19_19.ulg,EL-019,264.00671800000003,67.99071500000001,11.005807,1.994772,344.998012,0.765241273332323,0.19707567184474095,0.03190107367923036,0.005781981143705837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20250823013306.ulg,EL-019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
07_05_22.ulg,EL-019,84.999052,43.997688999999994,9.005009,1.998329,140.00007900000003,0.6071357431162592,0.31426902980533306,0.06432145656146378,0.014273770516943778,0.004942,0.0,0.0,0.0,0.0,0.0,0.018501999999999998,0.0,0.0,0.004942,0.0,0.0,0.0,0.0,0.0
05_31_13.ulg,EL-019,53.999301,21.001323000000006,0.0,0.0,75.000624,0.7199846897273815,0.2800153102726186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20250823013320.ulg,EL-019,12.999177999999999,0.0,0.0,0.0,12.999177999999999,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20250823013434.ulg,EL-019,4.996891,0.0,0.0,0.0,4.996891,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05_00_33.ulg,EL-019,201.995216,78.00332800000001,10.004091,1.99852,292.001155,0.691761702106966,0.26713362828992926,0.03426045009993197,0.006844219503172856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20250823013418.ulg,EL-019,26.998537999999996,0.0,0.0,0.0,26.998537999999996,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20250826004120.ulg,EL-019,12.999048000000002,0.0,0.0,0.0,12.999048000000002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20250826004224.ulg,EL-019,17.002924999999998,0.0,0.0,0.0,17.002924999999998,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
07_08_01.ulg,EL-019,320.007246,116.00576299999999,40.974474,10.013086999999999,487.00057,0.6570982986734493,0.2382045733539901,0.0841363984440511,0.020560729528509587,0.973171,0.7433639999999999,0.700253,0.159358,0.006294,0.0,7.78959,7.718738999999999,7.681519,0.15209199999999998,0.055965,0.027138,0.0,0.0,0.0
20250826004332.ulg,EL-019,56.99807,3.001894,0.0,0.0,59.999964,0.9499684033143753,0.05003159668562468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017658999999999998,0.010091,0.003784,0.0,0.0,0.0
20250826005148.ulg,EL-019,64.99627,5.000954999999999,3.002073,0.0,72.999298,0.8903684251867737,0.06850689166901303,0.041124683144213255,0.0,0.006312,0.00252,0.00252,0.034087,0.030299,0.026506,0.055542999999999995,0.03788,0.03788,0.006308,0.006308,0.006308,0.0,0.0,2.0
20251008144748.ulg,EL-019,4.997966,0.0,0.0,0.0,4.997966,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20250828040336.ulg,EL-019,47.00213600000001,1.000365,0.0,0.0,48.002500999999995,0.9791601483431043,0.02083985165689596,0.0,0.0,0.0,0.0,0.0,0.09126000000000002,0.07770400000000001,0.07524000000000002,0.09865800000000002,0.083805,0.066544,0.0,0.0,0.0,0.0,0.0,0.0
20250828041542.ulg,EL-019,445.021227,139.999516,40.989822,16.988699,642.999264,0.6921022338837389,0.21772888996650544,0.0637478521281791,0.026421024021576485,0.128216,0.006171,0.0,0.08509599999999999,0.023436,0.017264,0.124432,0.028358,0.013556,0.321901,0.054287999999999996,0.0,1.0,0.0,0.0
20251008145158.ulg,EL-019,6.999938,0.0,0.0,0.0,6.999938,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20251008150928.ulg,EL-019,6.002447000000001,0.0,0.0,0.0,6.002447000000001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20251008145306.ulg,EL-019,5.999610999999999,0.0,0.0,0.0,5.999610999999999,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20250826004910.ulg,EL-019,46.00241,2.000103,0.0,0.0,48.002513,0.9583333689217478,0.041666631078252095,0.0,0.0,0.0,0.0,0.0,0.045435,0.022713,0.008834,0.053015,0.036598000000000006,0.021459999999999996,0.003787,0.0,0.0,0.0,0.0,0.0
20251008145412.ulg,EL-019,4.9980020000000005,0.0,0.0,1.001629,5.999631,0.8330515660046427,0.0,0.0,0.1669484339953574,0.08449300000000001,0.003771,0.0,0.0,0.0,0.0,0.18544899999999997,0.063058,0.010069,0.0,0.0,0.0,0.0,0.0,0.0
log_18_2025-10-9-20-43-48.ulg,EL-019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
log_19_2025-10-14-16-45-52.ulg,EL-019,12.998119999999998,0.0,0.0,0.0,12.998119999999998,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
log_28_2025-10-14-18-03-10.ulg,EL-019,12.998638999999999,0.0,0.0,0.0,12.998638999999999,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
log_26_2025-10-14-18-02-50.ulg,EL-019,12.999875999999997,0.0,0.0,0.0,12.999875999999997,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
log_23_2025-10-14-18-02-18.ulg,EL-019,12.999769,0.0,0.0,0.0,12.999769,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20250824021500.ulg,EL-020,31.996803,0.0,0.0,0.0,31.996803,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
log_32_2025-10-14-18-03-34.ulg,EL-019,12.999919,0.0,0.0,0.0,12.999919,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20250826012350.ulg,EL-020,15.000933999999999,0.0,0.0,0.0,15.000933999999999,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0
20250826012124.ulg,EL-020,11.00093,0.0,0.0,0.0,11.00093,1.0,0.0,0.0,0.0,0.026066,0.018615,0.011179,4.267559,4.134855999999999,3.916538,4.437508,4.2080280000000005,3.097758,0.034726,0.027294,0.027294,0.0,0.0,109.0
